@relation hedge

@attribute word {'a bit','a bunch','a couple','a few','a little','a whole bunch','among others','and all that','and so forth','and so on','and suchlike','and the rest','correct me if I\'m wrong','et cetera','I mean','I would say','if I\'m understanding you correctly','in my mind','in my opinion','in my understanding','in my view','it\'s said','kind of','look like','looks like','more or less','my thinking','my understanding','pretty much','so far','somebody said','something or other','sort of','sounds like','the like','their impression','they said','they say','to be honest',about,almost,apparently,appear,approximately,arguably,assume,basic,basically,believe,completely,consider,could,estimate,expect,fair,fairly,feel,find,frequently,general,generally,guess,hear,imagine,know,largely,like,likely,may,maybe,might,most,mostly,much,nearly,necessarily,occasionally,often,partial,partially,perhaps,possible,possibly,practically,probable,probably,propose,rarely,read,really,recall,remember,rough,roughly,seem,seemingly,seldom,several,should,some,somebody,somehow,someone,sometimes,somewhat,somewhere,speculate,suggest,suppose,sure,technically,think,totally,understand,unlikely,unsure,usually,virtually}
@attribute POS_2 {START,STOP,JJ,NN,``,-LRB-,WRB,LS,PRP,DT,NNP,FW,NNS,JJS,JJR,UH,.$$.,MD,VBD,WP,VBG,CC,'\'\'',CD,PDT,RBS,VBN,RBR,#,$,IN,VBP,WDT,SYM,NNPS,WP$,',',VB,.,VBZ,RB,PRP$,EX,POS,-RRB-,:,TO,RP,NULL}
@attribute POS_1 {START,STOP,JJ,NN,``,-LRB-,WRB,LS,PRP,DT,NNP,FW,NNS,JJS,JJR,UH,.$$.,MD,VBD,WP,VBG,CC,'\'\'',CD,PDT,RBS,VBN,RBR,#,$,IN,VBP,WDT,SYM,NNPS,WP$,',',VB,.,VBZ,RB,PRP$,EX,POS,-RRB-,:,TO,RP,NULL}
@attribute POS_w {START,STOP,JJ,NN,``,-LRB-,WRB,LS,PRP,DT,NNP,FW,NNS,JJS,JJR,UH,.$$.,MD,VBD,WP,VBG,CC,'\'\'',CD,PDT,RBS,VBN,RBR,#,$,IN,VBP,WDT,SYM,NNPS,WP$,',',VB,.,VBZ,RB,PRP$,EX,POS,-RRB-,:,TO,RP,NULL}
@attribute POS1 {START,STOP,JJ,NN,``,-LRB-,WRB,LS,PRP,DT,NNP,FW,NNS,JJS,JJR,UH,.$$.,MD,VBD,WP,VBG,CC,'\'\'',CD,PDT,RBS,VBN,RBR,#,$,IN,VBP,WDT,SYM,NNPS,WP$,',',VB,.,VBZ,RB,PRP$,EX,POS,-RRB-,:,TO,RP,NULL}
@attribute POS2 {START,STOP,JJ,NN,``,-LRB-,WRB,LS,PRP,DT,NNP,FW,NNS,JJS,JJR,UH,.$$.,MD,VBD,WP,VBG,CC,'\'\'',CD,PDT,RBS,VBN,RBR,#,$,IN,VBP,WDT,SYM,NNPS,WP$,',',VB,.,VBZ,RB,PRP$,EX,POS,-RRB-,:,TO,RP,NULL}
@attribute class {1,0}

@data
much,VBD,RB,JJ,NN,RB,0
should,IN,EX,MD,VB,NN,0
seem,RB,VBZ,VB,TO,VB,1
sure,START,RB,JJ,IN,PRP,1
think,NN,MD,VB,RB,.,1
know,VBP,RB,VB,WP,VBZ,1
remember,START,PRP,VBP,IN,DT,0
likely,VBP,RB,JJ,TO,VB,1
some,PRP,VBD,DT,JJ,NNS,0
think,START,PRP,VBP,PRP,MD,1
may,RB,IN,MD,RB,RB,1
may,START,NNP,MD,RB,VB,1
read,VBD,RB,VB,NNS,IN,0
really,NNP,NNPS,RB,VBG,.,0
about,NN,PRP,IN,DT,VBZ,0
someone,RP,IN,NN,JJ,PRP,1
fair,TO,VB,JJ,TO,NNP,0
somewhere,DT,NN,RB,IN,DT,0
some,RB,IN,DT,CD,NNS,1
really,MD,RB,RB,VB,IN,1
should,CC,NNS,MD,VB,PRP$,0
about,PRP,VBP,IN,PRP,PRP,0
might,START,PRP,MD,VB,VBN,1
know,VBP,RB,VB,WRB,DT,1
much,VB,RB,RB,RB,.,1
like,DT,NN,IN,DT,.,1
'a bunch',VB,IN,DT,IN,NNS,1
about,RB,VBG,IN,DT,NNP,0
some,VBZ,VB,DT,JJ,NNS,1
really,:,PRP,RB,VBP,JJ,1
understand,-LRB-,PRP,VBP,PRP,VBZ,1
understand,PRP,MD,VB,IN,PRP,0
may,IN,PRP,MD,VB,VBN,1
sometimes,JJ,CC,RB,RB,JJ,0
much,RP,RB,RB,STOP,STOP,0
find,START,PRP,VBP,DT,RB,1
know,VBP,RB,VB,NN,IN,1
fair,NNP,DT,JJ,NN,.,0
may,CC,NN,MD,VB,JJR,1
seldom,:,CC,RB,RB,NN,1
like,VBZ,RB,VB,WP,PRP,0
could,JJ,CC,MD,VB,FW,0
some,RB,VBD,DT,NN,STOP,1
believe,NN,NNS,VBP,DT,JJ,0
might,VBP,NNS,MD,VB,VBN,1
know,WP,PRP,VBP,IN,VBG,0
could,IN,PRP,MD,VB,WRB,0
think,START,NN,VBP,DT,IN,1
about,NN,VBD,IN,DT,NN,0
about,RB,VB,IN,PRP$,JJ,0
about,PRP,VBP,IN,NNS,STOP,0
much,NN,WRB,RB,PRP,VBP,1
think,PRP,RB,VBP,DT,JJ,1
know,VBP,RB,VB,WRB,PRP,1
like,PRP,VBD,IN,PRP,WRB,1
much,IN,WRB,JJ,PRP,RB,0
some,RP,VBG,DT,IN,DT,1
'a bit',DT,NN,DT,RB,.,1
about,VBP,VBG,RB,VBZ,DT,0
someone,TO,VB,NN,NN,DT,1
hear,WRB,PRP,VBP,UH,STOP,0
'and the rest',IN,NNP,CC,NN,NNP,1
feel,RB,FW,VB,IN,FW,1
about,JJ,NN,IN,NNP,NNP,0
about,NN,:,IN,CD,STOP,0
believe,MD,RB,VB,PRP,VBD,1
like,VBZ,RB,IN,PRP,VBZ,1
understand,JJR,CC,VB,WRB,DT,0
seem,VBZ,RB,VB,TO,VB,1
could,IN,PRP,MD,VB,DT,1
feel,START,PRP,VBP,RB,RB,0
basic,START,DT,JJ,NN,.,1
may,NN,WDT,MD,VB,DT,1
some,VBN,PRP$,DT,NN,CC,0
someone,VBG,WRB,NN,VBZ,DT,1
'sort of',JJ,WP,NN,NN,VBZ,0
believe,NNS,WP,VBP,IN,PRP,1
general,NNPS,IN,JJ,CC,RB,1
like,NN,RB,IN,PRP$,JJ,1
'they say',TO,WP,PRP,IN,NN,1
really,VBD,RB,RB,VB,NN,1
could,START,PRP,MD,VB,DT,0
some,NNS,FW,DT,NNS,VBP,1
about,VBZ,DT,IN,VBG,DT,0
'a bunch',VBP,RB,DT,IN,VBN,1
feel,IN,PRP,VBP,IN,PRP,1
most,START,DT,RBS,JJ,NN,0
feel,PRP,RB,VBP,IN,PRP$,1
might,IN,NNS,MD,VB,JJ,1
read,PRP,VBP,VBN,RB,JJ,0
sometimes,NN,CC,RB,FW,VB,0
about,VBP,VBN,IN,VBG,DT,0
really,START,PRP,RB,VBP,JJ,1
sure,CC,PRP,RB,IN,NN,1
about,PRP,NN,IN,DT,NNS,0
may,START,PRP,MD,VB,NN,1
much,NN,RB,JJ,NN,STOP,0
seem,START,PRP,VBP,IN,DT,1
like,JJ,NNS,IN,VBG,DT,1
think,START,PRP,VBP,PRP,VBZ,1
could,WRB,FW,MD,IN,PRP$,0
like,PRP,VBP,IN,FW,FW,0
really,START,PRP,RB,VBP,VBN,0
might,:,PRP,MD,VB,DT,1
'sort of',VBD,IN,NN,NN,NN,1
know,VBZ,NNP,VB,STOP,STOP,1
hear,VBD,RB,VB,DT,JJ,0
know,RB,RB,VB,NN,IN,0
about,NNP,VBD,IN,DT,NNP,0
like,WRB,NN,IN,PRP,MD,0
about,RB,VB,IN,DT,JJ,0
like,NN,VBZ,IN,PRP,IN,1
feel,PRP$,NN,VB,PRP,MD,1
could,NN,WP,MD,VB,VBN,0
suggest,START,TO,VB,IN,NNS,1
almost,RB,RB,RB,CD,NNS,1
remember,START,PRP,VBP,VBG,RB,0
think,START,PRP,VBP,PRP,VBP,1
about,PRP,VBD,IN,CD,NNS,1
'a few',NNP,VBZ,DT,NNS,IN,1
could,START,PRP,MD,VB,IN,0
like,PRP,MD,VB,TO,VB,0
should,DT,NN,MD,VB,VBG,0
about,PRP$,NN,IN,PRP,VBP,0
think,PRP,MD,VB,IN,STOP,0
believe,MD,RB,VB,PRP,MD,1
really,START,PRP,RB,MD,NN,1
really,PRP,VBD,RB,VBN,IN,0
guess,:,PRP,VBP,IN,PRP,1
about,IN,NN,IN,NNP,NNP,0
know,IN,PRP,VBP,PRP,VBZ,1
may,START,DT,MD,VB,JJ,1
maybe,JJ,CC,RB,RB,JJ,1
know,START,PRP,VBP,IN,VBZ,0
could,IN,PRP,MD,VB,.,0
believe,RB,NN,VB,IN,CC,0
about,PRP,VBP,IN,TO,VB,1
imagine,START,PRP,VBP,NNS,MD,1
about,MD,VB,RB,CD,-LRB-,1
think,START,PRP,VBP,DT,VBZ,1
think,START,PRP,VBP,PRP$,NN,1
sure,START,PRP,RB,VBP,STOP,0
much,:,WRB,JJ,CC,WP,1
imagine,MD,RB,VB,PRP,VBG,0
like,CC,DT,JJ,MD,VB,1
about,NN,NN,IN,JJ,NNS,0
should,START,PRP,MD,VB,JJ,1
think,START,PRP,VBP,JJ,NN,1
likely,NNS,VBP,JJ,TO,RB,1
'a couple',MD,VB,DT,IN,NNS,1
could,WRB,PRP,MD,VB,JJ,0
'a few',IN,JJS,DT,NNS,RB,1
should,PRP,PRP,MD,VB,VBN,0
may,JJ,NNS,MD,RB,RB,1
like,:,VBZ,IN,DT,NN,1
possible,CC,DT,JJ,NN,IN,0
expect,PRP,MD,VB,TO,VB,0
find,PRP,MD,VB,PRP,VBP,1
imagine,MD,RB,VB,JJ,NN,0
find,IN,PRP,VBP,PRP,JJ,1
much,VB,RB,JJ,IN,NNS,1
believe,NN,MD,VB,IN,DT,1
about,RB,JJ,IN,DT,NNS,0
believe,IN,PRP,VBP,NNS,VBP,1
like,START,PRP,VBP,NNP,IN,0
like,NN,NN,IN,DT,NNP,1
recall,IN,DT,NN,NN,VBZ,0
understand,MD,RB,VB,PRP,.,0
like,PRP,VBZ,IN,PRP,VBP,1
some,NN,NNS,DT,JJ,NNS,0
someone,START,IN,NN,VBD,DT,0
think,START,LS,VB,PRP,VBZ,1
approximately,NNS,IN,RB,CD,STOP,1
could,VBD,PRP,MD,VB,IN,0
believe,PRP,RB,VBP,IN,NNP,1
about,NN,VBZ,IN,DT,NN,0
most,NNP,NNP,RBS,JJ,NN,0
may,JJ,NN,MD,VB,IN,1
about,RB,VB,IN,DT,RB,0
about,RBR,JJ,IN,JJ,NN,0
likely,JJ,NNS,JJ,TO,VB,1
feel,PRP,RB,VBP,JJ,IN,0
know,START,PRP,VBP,JJS,IN,1
apparently,NN,WP,RB,VBD,DT,1
could,NNS,WDT,MD,VB,JJ,1
much,VBN,RB,RB,IN,DT,1
somewhere,JJ,NN,RB,RB,.,0
know,VBP,RB,VB,IN,RB,0
suggest,CC,RB,VBP,PRP,MD,1
estimate,START,NNS,VBP,IN,RB,1
most,NN,CC,RBS,JJ,NN,0
most,CC,DT,RBS,JJ,NN,0
about,JJ,NN,IN,NNS,.,0
think,VBP,RB,VB,DT,NNP,1
about,NNP,VBD,IN,NNP,POS,0
might,START,PRP,MD,VB,IN,1
some,MD,VB,DT,IN,PRP,1
like,NN,RB,IN,JJ,NNS,1
'sort of',VBG,DT,NN,NN,IN,0
feel,VBD,RB,VB,JJ,TO,0
sure,VBP,RB,JJ,RB,WP,1
perhaps,NNP,VBZ,RB,DT,RBS,1
possible,DT,CD,JJ,NNS,:,0
understand,VBP,RB,VB,VBZ,DT,0
find,START,START,VB,DT,NN,0
remember,NN,PRP,VBP,VBG,IN,1
'look like',MD,RB,VB,DT,CC,0
'sounds like',START,RB,VBZ,DT,NN,1
most,VBZ,DT,RBS,JJ,RB,0
'a few',NNP,VBZ,DT,NNS,IN,1
some,NN,IN,DT,IN,PRP$,0
about,TO,VB,IN,PRP,STOP,0
could,WP,PRP,MD,VB,PRP,0
know,NNS,WP,VBP,DT,NN,0
understand,CC,MD,VB,FW,NN,0
often,RB,VBZ,RB,VBD,STOP,1
really,START,PRP,RB,VBP,VB,1
some,NNS,CC,DT,WDT,VBP,0
should,DT,NN,MD,RB,VB,0
might,NN,PRP,MD,VB,.,1
about,DT,NN,IN,NN,STOP,0
totally,DT,VBZ,RB,JJ,.,0
completely,WDT,PRP,RB,VBZ,DT,0
could,JJ,CC,MD,RB,VB,0
most,VBP,DT,RBS,JJ,NNP,0
feel,RB,FW,VBP,DT,JJ,0
someone,TO,VB,NN,RB,.,1
like,DT,NNP,IN,DT,NN,1
suggest,START,PRP,VBP,PRP,VBN,1
sometimes,UH,NNS,RB,VBP,PRP$,0
might,VBG,NNP,MD,RB,VB,1
like,VBP,NNS,IN,NN,STOP,1
most,-LRB-,IN,JJS,NNS,IN,1
might,START,PRP,MD,VB,TO,0
know,:,PRP,VBP,PRP,VBZ,1
really,DT,NN,RB,VBP,DT,1
about,VBG,IN,IN,JJ,NNS,0
about,RB,VBG,IN,NN,STOP,0
much,TO,VB,RB,JJR,NNS,0
like,NNS,VB,IN,DT,NN,1
read,VBP,RB,VB,PRP,.,0
know,VBP,RB,VB,WRB,PRP,1
think,VBP,RB,VB,RBS,JJ,1
may,VBD,JJ,MD,CC,RB,1
think,START,PRP,VBP,DT,JJ,1
know,PRP,NNS,VB,WRB,TO,0
probably,PRP,VBZ,RB,JJ,STOP,1
'a bit',NN,VBZ,DT,JJR,IN,1
really,NN,VBP,RB,STOP,STOP,0
much,VB,WRB,JJ,DT,NN,1
really,PRP,VBZ,RB,DT,JJ,1
about,NN,VBZ,IN,CD,NNS,1
believe,NNS,PRP,VBP,CC,DT,1
possibly,PRP,VBD,RB,IN,EX,1
should,CC,RB,MD,VB,VBN,0
'I would say',JJ,NN,PRP,PRP,MD,0
some,IN,VB,DT,JJ,NN,0
guess,START,PRP,VBP,PRP,VBD,1
feel,PRP,MD,VB,DT,NN,0
should,DT,NN,MD,VB,CC,0
almost,PRP,VBZ,RB,CD,CC,1
really,START,PRP,RB,VBZ,NN,1
some,NN,IN,DT,JJ,NN,0
suggest,PRP,RB,VBP,PRP,VB,1
apparently,-LRB-,CC,RB,VBP,RB,1
think,VBP,RB,VB,PRP,MD,1
like,START,VBZ,IN,DT,NN,1
'a bunch',IN,RB,DT,IN,JJ,1
'sort of',VBP,VBN,NN,JJ,.,1
probably,PRP,MD,RB,VB,RB,1
somebody,VB,IN,NN,JJ,IN,0
know,START,PRP,VBP,DT,NN,1
like,MD,RB,VB,DT,NN,0
like,JJ,NNS,IN,DT,NN,0
'a bit',PRP,VBP,DT,JJ,IN,1
know,VBP,RB,VB,JJ,IN,0
like,RB,VBD,IN,PRP,VBD,1
think,CC,PRP,VBP,DT,VBD,1
'look like',VB,PRP,VB,NN,RB,0
much,VBG,JJ,JJ,RB,JJR,0
remember,PRP,RB,VBP,NN,IN,0
really,CC,PRP,RB,VBP,IN,0
'so far',VBZ,VBN,RB,RB,CD,1
think,RB,PRP,VBP,PRP,VBZ,1
about,JJ,NNS,IN,WRB,NNS,0
completely,NNP,VBZ,RB,NNP,.,0
think,VBP,RB,VB,EX,VBP,1
know,START,PRP,VBP,PRP$,FW,1
know,DT,NNS,VBP,PRP,MD,0
think,PRP,WP,VBP,IN,VBG,1
'a few',VBD,CC,DT,NNS,CC,1
like,VBZ,RB,IN,PRP,VBZ,1
really,VBN,VBP,RB,VBZ,RB,1
about,TO,NN,IN,NNPS,RB,0
know,VBZ,RB,VB,DT,.,0
understand,PRP,VBP,VB,DT,IN,1
find,DT,NN,VB,NNS,IN,0
about,RB,VBN,IN,VBG,IN,0
about,RB,VBG,IN,DT,JJ,0
really,VBZ,RB,RB,JJ,.,1
maybe,PRP,CC,RB,VBP,PRP,1
'a bit',PRP$,NNS,DT,RB,STOP,1
about,NN,VBD,RB,WRB,PRP,0
completely,TO,RB,RB,VB,PRP,0
like,START,VBZ,IN,PRP,VBP,1
could,WRB,PRP,MD,VB,JJR,1
about,NN,VBD,IN,NNP,NNPS,0
suggest,START,TO,VB,IN,NNP,1
basic,START,DT,JJ,NNS,RB,0
about,IN,NN,IN,WP,PRP,0
probably,WDT,VBZ,RB,WRB,PRP,1
know,START,PRP,VBP,PRP,.,0
somehow,START,PRP,RB,VBD,DT,0
remember,MD,RB,VB,DT,NNS,0
think,NNP,NNP,VB,PRP,VBP,1
like,DT,NN,IN,NNP,.,1
like,START,PRP,VBP,TO,VB,0
like,START,PRP,VBP,DT,NNP,0
some,START,START,DT,RB,VBP,1
may,WDT,NN,MD,VB,DT,1
someone,START,IN,NN,PRP,VBD,0
know,START,PRP,VBP,PRP,MD,1
should,DT,NN,MD,VB,NNP,0
think,START,PRP,VBP,DT,CD,1
may,RB,PRP,MD,VB,.,1
fairly,PRP$,NN,RB,RB,IN,1
much,VBZ,RB,JJ,NN,IN,1
feel,:,PRP,VBP,NN,IN,0
'a bit',TO,VB,DT,IN,DT,1
about,NNS,VB,IN,NN,NN,0
should,VBG,PRP,MD,VB,RBR,0
about,VBZ,NN,IN,DT,NN,0
general,IN,DT,JJ,NN,IN,1
much,NNP,VB,RB,RBR,NN,0
'a little',PRP$,NN,DT,IN,PRP,1
about,NN,VBZ,IN,TO,VB,1
'they said',NNS,CC,PRP,DT,VBZ,0
like,TO,VB,IN,DT,JJ,1
'sort of',DT,JJ,NN,NN,STOP,0
feel,FW,FW,VBP,VBN,TO,0
like,IN,NN,IN,IN,NNP,1
should,START,IN,MD,VB,VBN,0
probably,NNP,MD,RB,VB,JJ,1
read,PRP,VBP,VBN,STOP,STOP,1
might,START,PRP,MD,RB,VB,1
several,EX,VBP,JJ,IN,JJS,1
seem,DT,WDT,VBP,TO,VB,1
may,JJ,NN,MD,VB,IN,1
suggest,NNS,MD,VB,IN,DT,1
know,IN,PRP,VBP,DT,NNS,0
about,VBZ,DT,IN,DT,NNS,0
someone,NN,IN,NN,IN,PRP,0
know,VBP,RB,VB,WP,TO,1
imagine,PRP,MD,VB,:,VBG,1
almost,WDT,VBD,RB,JJ,STOP,1
'a few',NN,IN,DT,NN,NNS,1
like,IN,NNS,IN,NNP,WDT,1
should,START,PRP,MD,VB,NNP,0
think,START,PRP,VBP,NNP,NNP,1
sure,PRP,VBP,JJ,DT,NNS,1
about,DT,NN,IN,DT,NN,0
estimate,DT,JJS,NN,IN,DT,1
really,PRP,VBZ,RB,VBG,TO,0
about,NN,VBG,IN,NNS,CC,0
someone,VBG,IN,NN,WRB,PRP,0
'kind of',CC,PRP,RB,VBZ,PRP$,1
find,PRP,MD,VB,DT,NN,0
about,WRB,-RRB-,IN,DT,NNP,0
like,PRP,VBP,IN,DT,NN,1
feel,VBG,PRP,VB,JJ,CC,0
'among others',CC,NNP,IN,MD,VB,1
guess,START,PRP,VBP,DT,PRP$,1
'a few',START,RB,DT,VBD,VBN,1
most,RB,VB,RBS,JJ,NNS,1
about,PRP,VBD,IN,VBG,NNP,0
think,START,PRP,VBP,PRP,VBZ,1
'a little',LS,VBD,DT,JJ,CC,1
most,IN,DT,JJS,NN,STOP,1
should,IN,NNS,MD,JJ,DT,0
about,NN,VBN,IN,NN,NN,0
much,VBD,RB,JJ,IN,PRP$,1
may,START,PRP,MD,CC,MD,1
read,RB,VBP,VB,DT,NNS,0
some,VBP,VB,DT,NNS,IN,1
may,CC,PRP,MD,VB,JJ,1
could,VBP,PRP,MD,IN,JJS,0
should,NN,CC,MD,VB,JJ,0
'I mean',START,START,PRP,CD,NN,1
seem,PRP,DT,VBP,TO,VB,1
know,PRP,VBP,VB,WP,VBD,0
possible,JJ,IN,JJ,TO,NN,0
'look like',VBZ,NNP,VB,NNP,.,1
should,START,RB,MD,NNS,WP,0
basically,IN,NN,RB,PRP$,JJ,1
should,NNP,RB,MD,VB,VBD,0
hear,START,PRP,VBP,IN,NNP,1
read,PRP,MD,VB,DT,RBR,0
about,PRP,VBP,RB,RB,JJ,1
about,VB,RB,IN,WRB,NNS,0
partial,VBZ,DT,JJ,NN,:,1
like,PRP,VBP,IN,NNP,NNP,1
nearly,IN,NN,RB,DT,NN,1
should,START,NNS,MD,VB,IN,0
like,DT,NN,IN,NNP,.,1
'looks like',JJR,PRP,VBZ,NNP,VBD,1
about,RB,JJ,IN,VBG,.,0
think,LS,RB,VB,CD,NNS,1
like,PRP$,NNS,IN,DT,NN,1
think,FW,FW,VBP,PRP,VBD,1
remember,VBD,RB,VB,PRP,NN,0
know,-LRB-,FW,VB,DT,IN,0
should,START,PRP,MD,VB,VBN,0
know,:,NN,VB,JJR,IN,0
really,START,PRP,RB,VBP,TO,0
maybe,NN,CC,RB,PRP,VBZ,1
know,START,PRP,VBP,IN,JJ,0
about,VBP,VBG,IN,DT,.,0
'a little',NNP,VBD,DT,NN,RBR,1
know,VBP,RB,VB,STOP,STOP,1
understand,VBZ,RB,VB,NN,VBZ,0
most,VBD,DT,JJS,IN,WP,0
some,TO,VB,DT,NN,IN,0
often,JJ,NN,RB,VBZ,NN,1
think,PRP,DT,VBP,PRP,VBZ,1
might,JJ,NN,MD,VB,DT,1
'a bit',MD,VB,DT,NN,STOP,0
basic,VBZ,DT,JJ,JJ,NN,1
some,VBN,IN,DT,JJ,STOP,1
about,RB,VBN,IN,VBG,DT,0
really,VBZ,RB,RB,VB,WP,1
know,NNP,CC,VB,WP,PRP$,0
think,START,PRP,VBP,PRP,VBZ,1
almost,PRP,VBP,RB,DT,JJ,1
most,START,IN,JJS,IN,PRP,1
practically,PRP,VBP,RB,DT,NN,1
usually,IN,PRP,RB,VBP,.,1
know,RB,RB,VB,PRP,.,0
like,NN,RB,IN,PRP$,JJ,1
assume,JJ,NNS,VBP,IN,RB,1
like,START,RB,IN,PRP,MD,1
like,IN,NNS,IN,PRP,RB,1
like,TO,VB,IN,NNP,CC,1
some,TO,VB,DT,IN,DT,1
'I mean',START,IN,PRP,STOP,STOP,1
know,VBP,RB,VB,WRB,WDT,1
think,VBP,RB,VB,EX,VBP,1
feel,IN,PRP,VBP,IN,IN,0
think,VBP,RB,VB,IN,DT,0
some,RB,VB,DT,NNS,IN,1
like,PRP,VBP,IN,DT,VBG,1
feel,PRP,DT,VBP,JJ,IN,0
'a couple',NN,IN,DT,IN,NNS,1
about,VB,RBR,IN,DT,NNP,0
about,DT,VBZ,IN,CD,IN,1
completely,MD,VB,RB,VBN,.,0
really,VBZ,RB,RB,VB,PRP,1
know,START,PRP,VBP,DT,VBZ,1
much,START,DT,JJ,JJR,NN,0
really,PRP,VBP,RB,RB,JJ,0
should,NN,PRP,MD,VB,DT,0
almost,PRP,VBP,RB,RB,VBN,1
about,TO,VB,IN,DT,NNS,0
someone,IN,IN,NN,VBN,IN,0
believe,START,PRP,VBP,NNP,POS,1
like,NNS,VBD,IN,DT,JJ,1
about,NN,VBZ,RB,CD,NNS,1
know,NNS,PRP,VBP,IN,-LRB-,0
about,CC,VB,IN,DT,:,0
read,START,PRP,VBP,DT,NN,1
think,START,PRP,VBP,PRP,VBZ,1
about,PRP,VBD,RB,VBD,VBN,0
about,JJ,NN,IN,NNP,VBG,0
like,START,PRP,VBP,PRP,IN,0
know,START,PRP,VBP,IN,DT,0
like,RP,NN,IN,PRP$,NNS,1
believe,MD,RB,VB,NNS,RB,1
'a couple',DT,IN,DT,IN,NNS,1
fair,VBP,DT,JJ,NN,IN,1
'a little',IN,NN,DT,IN,CD,1
'a little',START,VB,DT,JJR,IN,1
much,START,NNP,RB,PRP,VBZ,1
understand,PRP,MD,VB,WRB,JJ,1
know,NNS,PRP,VBP,MD,RB,0
could,NN,WP,MD,VB,PRP,0
should,DT,NN,MD,VB,WP,0
might,JJ,NNS,MD,VB,DT,0
some,EX,VBZ,DT,VBG,IN,1
most,VBZ,DT,JJS,NN,IN,0
practically,VBD,PRP,RB,IN,NNS,1
much,VBN,RB,JJ,PRP,VBZ,0
about,DT,NN,IN,NNP,:,0
apparently,JJ,NN,RB,WDT,FW,1
probably,NN,MD,RB,VB,DT,1
should,START,NNP,MD,VB,JJ,0
'so far',MD,VB,RB,IN,TO,1
about,RB,JJ,IN,PRP,-RRB-,0
may,IN,EX,MD,RB,VB,1
may,NN,CC,MD,RB,RB,1
about,VB,NN,IN,DT,CD,0
like,TO,VB,IN,DT,NN,1
about,RB,JJ,IN,PRP,STOP,0
somewhat,TO,VB,RB,JJ,RB,1
remember,:,PRP,VBP,NNS,RB,0
most,NNS,IN,JJS,NNS,CC,1
some,VBD,IN,DT,NNS,RB,0
may,START,PRP,MD,RB,VB,1
about,VBP,JJ,IN,NN,STOP,0
often,PRP,VBP,RB,RP,IN,1
could,VB,PRP,MD,VB,PRP,0
may,VB,PRP,MD,VB,DT,1
about,DT,NN,IN,JJ,NN,0
about,JJ,NNS,IN,JJ,NN,0
most,VBZ,DT,JJS,NN,IN,0
about,VBG,NNS,IN,PRP,TO,0
like,START,PRP,VBP,NNP,IN,0
some,JJ,NNS,DT,NNS,IN,0
about,VB,VBG,IN,CD,IN,0
possible,IN,NN,JJ,IN,DT,1
know,START,PRP,VBP,IN,VBZ,1
about,CC,PRP,IN,PRP$,NN,0
some,NN,IN,DT,JJ,NN,0
know,START,PRP,VBP,RB,WRB,0
about,TO,NN,IN,DT,.,0
possible,VBG,PRP$,JJ,NNS,IN,0
some,NNS,NNS,DT,JJ,NN,0
like,START,RB,IN,PRP,CC,1
could,CC,PRP,MD,VB,RB,0
some,NN,IN,DT,NN,.,0
know,START,PRP,VBP,IN,NN,1
virtually,VBN,VBP,RB,JJ,TO,1
really,CC,PRP,RB,VBP,VBG,0
like,START,RB,IN,PRP,VBP,1
'a few',EX,VBP,DT,JJ,JJ,1
could,IN,PRP,MD,STOP,STOP,0
some,START,IN,DT,NN,PRP,1
like,PRP,MD,VB,TO,VB,0
might,NN,WDT,MD,VB,JJR,1
about,START,RB,IN,RB,JJ,1
most,START,START,JJS,IN,DT,1
feel,:,PRP,VBP,IN,PRP,0
some,VBN,IN,DT,IN,PRP$,1
someone,VBP,IN,NN,VBD,DT,1
like,NNP,NNS,IN,NNP,:,1
think,IN,PRP,VBP,NN,NNS,1
generally,PRP,CC,RB,VBG,PRP,1
about,RB,VB,IN,PRP,CC,0
think,START,PRP,VBP,PRP,VBZ,1
some,VBN,IN,DT,IN,DT,1
really,MD,RB,RB,VB,STOP,1
someone,PRP,CC,NN,RB,JJ,1
think,VBP,RB,VB,PRP,VB,1
about,JJ,IN,IN,CD,JJ,1
may,DT,NN,MD,VB,VBN,1
about,DT,VBP,IN,DT,NNP,0
like,VBP,NNS,IN,DT,JJ,1
someone,PRP,VBZ,NN,RB,.,1
really,NN,RB,RB,VBD,IN,1
much,RB,VB,JJ,IN,DT,1
'kind of',VBN,DT,NN,NN,.,0
may,VBP,PRP,MD,VB,VBN,1
like,PRP,MD,VB,TO,VB,0
someone,IN,VBG,NN,WP,VBD,0
could,NN,CC,MD,RB,RB,0
apparently,NNP,VBZ,RB,VBG,TO,1
might,START,PRP,MD,VB,NNP,1
'a couple',IN,IN,DT,CC,NN,0
some,START,IN,DT,NN,IN,1
know,IN,PRP,VBP,JJS,.,1
really,START,PRP,RB,RB,VB,1
really,POS,VBN,RB,JJ,.,0
some,IN,IN,DT,NNS,IN,1
could,NN,PRP,MD,RB,RB,0
think,START,PRP,VBP,DT,NNS,1
'a little',NNP,VBD,DT,NN,RBR,1
like,VBP,RB,VB,NNP,STOP,0
much,NNS,VBD,RB,RBR,JJ,0
recall,VBP,RB,VB,VBG,IN,0
think,START,PRP,VBP,PRP,VBZ,1
think,VB,RB,VB,IN,PRP,1
think,START,PRP,VBP,PRP,MD,1
think,SYM,PRP,VBP,PRP,VBN,1
sometimes,:,PRP,RB,VBP,PRP,1
almost,DT,VBZ,RB,RB,JJ,1
feel,NN,PRP,VBP,IN,PRP,1
about,VB,VBG,IN,NN,.,0
