@relation AnnaHedgeData

@attribute hedge {'a bit','a bunch','a couple','a few','a little','a whole bunch','among others','and all that','and so forth','and so on','and suchlike','and the rest','correct me if I\'m wrong','et cetera','I mean','I would say','if I\'m understanding you correctly','in my mind','in my opinion','in my understanding','in my view','it\'s said','kind of','look like','looks like','more or less','my thinking','my understanding','pretty much','so far','somebody said','something or other','sort of','sounds like','the like','their impression','they said','they say','to be honest',about,almost,apparently,appear,approximately,arguably,assume,basic,basically,believe,completely,consider,could,estimate,expect,fair,fairly,feel,find,frequently,general,generally,guess,hear,imagine,know,largely,like,likely,may,maybe,might,most,mostly,much,nearly,necessarily,occasionally,often,partial,partially,perhaps,possible,possibly,practically,probable,probably,propose,rarely,read,really,recall,remember,rough,roughly,seem,seemingly,seldom,several,should,some,somebody,somehow,someone,sometimes,somewhat,somewhere,speculate,suggest,suppose,sure,technically,think,totally,understand,unlikely,unsure,usually,virtually}

@attribute pos-2 {START,STOP,JJ,NN,``,-LRB-,WRB,LS,PRP,DT,NNP,FW,NNS,JJS,JJR,UH,.$$.,MD,VBD,WP,VBG,CC,'\'\'',CD,PDT,RBS,VBN,RBR,#,$,IN,VBP,WDT,SYM,NNPS,WP$,',',VB,.,VBZ,RB,PRP$,EX,POS,-RRB-,:,TO,RP,NULL}
@attribute pos-1 {START,STOP,JJ,NN,``,-LRB-,WRB,LS,PRP,DT,NNP,FW,NNS,JJS,JJR,UH,.$$.,MD,VBD,WP,VBG,CC,'\'\'',CD,PDT,RBS,VBN,RBR,#,$,IN,VBP,WDT,SYM,NNPS,WP$,',',VB,.,VBZ,RB,PRP$,EX,POS,-RRB-,:,TO,RP,NULL}
@attribute pos {START,STOP,JJ,NN,``,-LRB-,WRB,LS,PRP,DT,NNP,FW,NNS,JJS,JJR,UH,.$$.,MD,VBD,WP,VBG,CC,'\'\'',CD,PDT,RBS,VBN,RBR,#,$,IN,VBP,WDT,SYM,NNPS,WP$,',',VB,.,VBZ,RB,PRP$,EX,POS,-RRB-,:,TO,RP,NULL}
@attribute pos+1 {START,STOP,JJ,NN,``,-LRB-,WRB,LS,PRP,DT,NNP,FW,NNS,JJS,JJR,UH,.$$.,MD,VBD,WP,VBG,CC,'\'\'',CD,PDT,RBS,VBN,RBR,#,$,IN,VBP,WDT,SYM,NNPS,WP$,',',VB,.,VBZ,RB,PRP$,EX,POS,-RRB-,:,TO,RP,NULL}
@attribute pos+2 {START,STOP,JJ,NN,``,-LRB-,WRB,LS,PRP,DT,NNP,FW,NNS,JJS,JJR,UH,.$$.,MD,VBD,WP,VBG,CC,'\'\'',CD,PDT,RBS,VBN,RBR,#,$,IN,VBP,WDT,SYM,NNPS,WP$,',',VB,.,VBZ,RB,PRP$,EX,POS,-RRB-,:,TO,RP,NULL}
@attribute position numeric
@attribute agreement numeric
@attribute judgment {1,0}

@data
remember,START,RB,VB,PRP,VBZ,1,0.6,0
feel,JJR,NNS,VBP,DT,JJ,6,0.6,1
sure,',',PRP,RB,VBP,DT,14,0.8,1
some,POS,NNS,DT,NNS,VBD,11,0.8,1
some,CC,VBD,DT,NN,RB,24,0.8,1
like,DT,NNS,IN,NNP,NN,2,1,1
some,START,CC,DT,IN,PRP,1,0.6,0
really,VBP,RB,RB,JJ,IN,14,0.6,1
much,PRP,RB,JJ,NN,EX,3,0.6,1
feel,VBP,PRP,VB,RB,JJ,15,1,0
several,JJ,NN,JJ,NNS,PRP,4,0.8,1
completely,MD,VB,RB,VBN,IN,7,1,0
several,VBP,RB,JJ,NNS,:,3,1,1
'sounds like',START,RB,VBZ,PRP,VBP,1,0.8,1
could,IN,PRP,MD,RB,VB,2,0.6,0
think,PRP$,NN,VB,PRP,MD,2,1,1
really,DT,VBD,RB,DT,NN,11,0.8,1
about,TO,VB,IN,NN,RB,6,1,0
think,IN,RB,VBP,DT,NN,10,0.6,1
think,START,PRP,VBP,PRP,VBZ,1,1,1
like,NNS,VBG,IN,DT,JJ,5,0.6,1
might,DT,NN,MD,VB,PRP,8,1,1
know,PRP,DT,VBP,PRP,.,9,0.8,1
understand,CC,PRP,VBP,PRP$,NN,6,0.8,0
know,IN,PRP,VBP,NN,RB,23,1,0
like,NNPS,MD,VB,TO,VB,31,0.6,0
believe,VBD,PRP,VBP,IN,NNP,4,0.8,1
somewhere,VBP,IN,RB,WRB,EX,35,0.8,0
sure,CC,RB,JJ,IN,PRP,8,1,1
some,NNP,VBZ,DT,IN,DT,2,0.8,1
some,PRP,VBP,DT,JJ,NN,14,0.8,0
could,IN,PRP,MD,VB,DT,32,1,0
about,NNP,NNP,IN,WRB,PRP,9,0.8,0
read,VBP,RB,VBN,RP,IN,4,1,0
like,VBG,NNS,IN,``,IN,10,1,1
know,START,PRP,VBP,WP,DT,1,0.6,1
nearly,NNP,NNP,RB,VBD,PRP$,2,0.8,1
like,VB,VBN,IN,NNP,:,8,1,1
believe,START,PRP,VBP,EX,VBD,1,0.8,1
really,NN,WDT,RB,VBZ,PRP,9,0.8,0
completely,DT,PRP,RB,VBD,NN,3,1,0
about,NNP,NNP,IN,DT,NN,7,1,1
'a few',VBZ,VBN,DT,NNS,:,3,0.8,1
about,RB,NN,IN,DT,NN,3,1,0
much,VBZ,RB,JJ,IN,CD,8,0.6,1
think,START,PRP,VBP,PRP,VBD,1,1,1
about,PRP$,NN,IN,RB,JJ,7,1,0
much,RB,VBZ,JJ,NN,CC,11,0.7,1
much,VBZ,VBG,RB,IN,DT,17,0.7,1
some,START,START,DT,NNS,VBP,0,1,0
much,VB,DT,JJ,NN,IN,35,0.6,1
like,PRP,VBZ,IN,DT,NN,2,1,1
think,PRP,RB,VBP,IN,DT,2,1,1
about,JJ,NNS,IN,JJ,NNS,20,0.8,0
about,IN,NN,IN,DT,JJ,16,1,0
much,NN,IN,JJ,NN,CC,6,0.8,1
about,VBD,RB,IN,DT,NN,3,1,0
know,PRP,VBP,VB,VBZ,PRP$,6,0.8,0
about,RB,VBG,IN,JJ,NNS,4,1,0
much,START,RB,RB,EX,WDT,1,0.8,1
'a little',RB,IN,DT,IN,:,52,1,1
might,VB,NNP,MD,RB,VB,7,1,1
about,DT,VBD,IN,CD,NN,2,1,1
believe,VBP,RB,VB,PRP,MD,3,1,1
like,JJ,NN,IN,NN,CC,26,1,1
much,NN,VBZ,RB,JJR,IN,10,1,0
feel,VBP,RB,VB,JJ,IN,4,0.6,0
think,START,NN,VBP,NNP,JJ,1,1,1
'kind of',VB,DT,NN,NN,NNP,11,1,0
like,START,NNS,IN,NNP,STOP,1,1,1
may,START,PRP,MD,VB,RBR,1,1,1
'a few',NNP,VBP,DT,NNS,JJ,9,1,1
some,TO,VBG,DT,NNS,:,22,0.8,1
'a bit',VBZ,RB,DT,IN,DT,8,1,1
believe,START,NNS,VBP,NNP,VBZ,1,0.8,1
about,VBZ,IN,IN,NN,IN,3,1,1
know,CC,PRP,VBP,PRP,VBZ,14,0.6,0
know,IN,PRP,VBP,PRP,VBZ,16,0.6,0
almost,NN,PRP,RB,DT,CD,9,0.8,1
think,MD,PRP,VB,IN,IN,3,1,1
most,VBD,DT,RBS,JJ,NN,17,0.8,0
think,:,PRP,VBP,VBG,NNS,8,0.8,1
about,NN,JJ,IN,DT,:,4,1,0
know,PRP,RB,VBP,IN,NNP,2,0.8,0
some,START,IN,DT,NN,PRP,1,0.6,0
think,VBP,RB,VB,PRP,VBD,2,1,1
remember,TO,RB,VB,DT,JJ,13,1,0
likely,NN,VBZ,JJ,TO,VB,4,0.6,0
like,FW,VB,IN,FW,VBP,14,1,1
understand,PRP,MD,VB,WRB,DT,3,0.8,0
really,PRP,VBD,RB,JJ,TO,2,1,0
really,NNS,IN,RB,JJ,NNS,5,1,0
could,PRP,RB,MD,VB,PRP$,2,0.6,0
could,PRP$,NN,MD,VB,VBN,12,0.6,0
could,START,PRP,MD,VB,PRP,1,0.8,0
maybe,VBG,IN,RB,PRP,.,16,0.8,1
about,VB,VBG,IN,DT,JJ,12,1,0
really,NNS,NN,RB,JJ,.,7,1,0
should,START,PRP,MD,VB,JJ,1,1,0
like,PRP,VBP,IN,NN,NN,2,1,1
'I mean',NN,:,PRP,IN,IN,7,0.6,0
partially,PRP,VBD,RB,NN,CC,4,0.9,1
partially,NN,CC,RB,IN,PRP,7,0.9,1
some,NN,:,DT,NN,MD,2,0.8,1
like,JJ,NNS,IN,NN,TO,16,1,1
know,:,PRP,VBP,PRP,MD,6,0.8,1
could,VBP,NN,MD,VB,VBN,4,0.6,0
hear,VBD,RB,VB,IN,PRP,3,0.8,0
could,IN,PRP,MD,VB,VBN,7,1,1
about,NN,VBZ,IN,PRP$,NN,17,1,0
think,START,PRP,VBP,DT,NN,1,1,1
understand,VBD,RB,VB,DT,JJ,12,0.8,0
probably,EX,VBP,RB,DT,NNS,15,1,1
'a bit',DT,NN,DT,RBR,JJ,28,1,1
possible,PRP,VBZ,JJ,DT,NN,2,1,1
feel,JJ,NN,VBP,JJ,:,10,1,0
likely,NN,MD,RB,VB,PRP$,25,0.6,1
may,NNP,NNP,MD,VB,VBG,17,1,1
general,DT,JJ,JJ,NN,.,30,1,1
know,RB,RB,VB,NN,IN,29,0.8,0
feel,VBZ,PRP,VB,JJ,STOP,5,1,0
like,PRP,MD,VB,TO,VB,2,1,0
like,START,RB,IN,IN,DT,1,1,1
like,IN,EX,IN,NNP,NNP,16,1,1
'pretty much',MD,VB,RB,NN,.,22,1,1
really,CC,RB,RB,NN,.,8,1,1
'looks like',START,RB,VBZ,FW,VBP,1,0.8,1
usually,VBG,PRP,RB,VBZ,VBG,25,0.8,1
apparently,PRP,VBD,RB,VBN,RB,11,1,1
should,IN,PRP,MD,VB,NN,15,1,0
find,DT,JJ,VB,CC,DT,12,0.8,0
'a few',PRP,VBP,DT,NNS,.,18,1,1
about,NN,NN,IN,DT,NN,20,1,1
understand,RB,RB,VB,PRP,.,8,1,0
think,START,PRP,VBP,NNP,VBZ,1,1,1
should,VB,NNS,MD,RB,VB,2,1,0
much,VBP,RB,JJ,NN,PRP,11,0.8,0
some,PRP,VBP,DT,NNS,.,6,0.6,0
could,START,PRP,MD,VB,JJ,1,1,1
necessarily,MD,RB,RB,VB,JJ,13,0.8,1
like,PRP$,NNS,IN,PRP$,FW,24,0.6,1
about,RB,VBD,IN,WP,VBD,8,1,0
basically,PRP$,NNS,RB,:,IN,9,0.8,1
usually,START,DT,RB,VBZ,IN,1,1,1
most,PRP,VBP,JJS,IN,DT,2,0.6,1
basic,:,PRP$,JJ,NN,VBZ,4,0.6,1
about,NN,VBZ,IN,NN,JJR,10,0.8,0
like,CC,NNS,IN,PRP,DT,7,1,1
totally,VBZ,VBN,RB,VBN,IN,7,1,0
about,MD,VB,IN,VBG,RP,3,1,0
maybe,VBP,VBN,RB,CD,NNS,3,0.8,1
know,PRP$,NN,VB,TO,RB,16,0.8,1
much,RB,RB,JJ,NN,NN,19,0.6,0
really,JJ,RB,RB,VBN,NN,15,1,1
'sounds like',VBZ,PRP,VBZ,PRP,VBP,10,1,1
may,NNS,WDT,MD,VB,IN,12,1,1
some,DT,:,DT,IN,PRP,3,0.6,0
about,VB,VBG,IN,PRP,:,3,1,0
someone,DT,WRB,NN,WP,VBZ,3,0.6,1
general,NN,WP$,JJ,NN,VBZ,26,1,1
'a bit',NN,VBZ,DT,IN,DT,3,1,1
like,:,MD,VB,TO,VB,3,0.6,0
may,NNS,NNS,MD,VB,VBZ,11,0.8,0
suppose,START,PRP,VBP,DT,VBZ,1,1,1
about,MD,VB,IN,DT,NN,3,1,0
suggest,START,PRP,VBP,PRP,VBN,1,1,1
about,VBZ,PRP,IN,DT,NN,12,0.8,0
feel,VB,CC,VB,DT,NN,14,1,0
really,WRB,PRP,RB,VBD,VBG,3,0.8,1
really,NN,VBD,RB,VB,RB,13,0.8,1
like,VBG,NNS,IN,PRP,IN,6,1,1
probably,PRP,MD,RB,VB,TO,2,1,1
much,VBD,RB,JJ,WP,PRP,4,0.6,0
know,VBP,RB,VB,WP,TO,8,1,1
could,JJ,WRB,MD,PRP,VB,28,0.6,1
'a few',NNP,NNP,DT,NNS,IN,9,1,1
think,TO,RB,VB,IN,NN,18,0.8,0
some,PRP,VBD,DT,JJ,NNS,10,0.6,0
like,VBN,NN,IN,PRP,IN,5,1,1
someone,VBD,IN,NN,MD,NN,3,0.8,1
some,IN,IN,DT,NN,IN,11,1,1
apparently,NN,CC,RB,PRP,VBD,13,1,1
should,PRP,RB,MD,NN,PRP,2,1,0
think,CC,PRP,VBP,DT,VBZ,17,1,1
about,RB,VB,IN,PRP,:,3,0.8,0
feel,START,PRP,VBP,RB,JJ,1,1,0
really,START,PRP,RB,VBP,VB,1,0.6,0
propose,NN,PRP,VBP,VBZ,NN,2,1,1
fairly,WDT,VBZ,RB,JJ,STOP,2,1,1
think,IN,PRP,VBP,NNP,VBD,5,1,1
might,JJ,NNS,MD,VB,TO,6,1,1
know,START,PRP,VBP,PRP,VBP,1,0.8,0
fair,NNP,POS,JJ,NN,IN,2,1,0
recall,VBP,RB,VB,DT,CC,4,0.8,0
some,RB,VBZ,DT,JJ,NNS,3,0.8,1
'a few',NN,IN,DT,NNS,NN,6,1,1
about,DT,NN,IN,WP,NNP,13,1,0
usually,NN,VBZ,RB,VBN,TO,26,1,1
believe,NN,NNS,VBP,IN,PRP,3,0.8,1
think,START,PRP,VBP,PRP,VBZ,1,1,1
read,NNS,MD,VB,IN,JJ,15,1,0
think,VBZ,PRP,VB,IN,NNP,8,0.6,1
should,VBP,PRP,MD,STOP,STOP,20,1,0
generally,VBZ,RB,RB,VBN,IN,9,1,1
really,PRP,VBZ,RB,JJ,IN,2,0.8,0
about,DT,VBD,RB,CD,NNS,2,1,1
remember,START,PRP,VBP,VBG,VBN,1,1,0
know,VBP,RB,VB,WRB,DT,3,0.8,1
some,VB,WRB,DT,MD,VB,5,0.6,0
believe,PRP,VBP,VB,PRP,VBP,3,0.8,1
'a few',JJ,IN,DT,JJ,NNS,2,1,1
should,VBP,CC,MD,VB,TO,4,1,0
really,START,START,RB,VBN,PRP,0,0.8,1
think,VBP,RB,VB,NN,VBD,3,1,1
could,UH,PRP,MD,VB,VBN,2,0.6,1
about,NN,VBG,IN,NN,NN,22,1,0
some,NN,IN,DT,JJ,NN,10,0.6,0
basically,MD,VB,RB,VBN,RP,3,1,1
think,CC,FW,VBP,JJS,NNPS,2,1,1
really,PRP,VB,RB,JJ,CC,16,1,0
much,IN,RB,JJ,IN,PRP,4,0.6,0
think,DT,NNPS,VBP,DT,NNS,2,1,1
think,START,PRP,VBP,VBG,DT,1,1,1
maybe,NNS,CC,RB,RB,DT,8,1,1
assume,MD,RB,VB,NNS,VBP,15,0.8,1
much,VBN,RB,RB,IN,PRP$,21,0.6,1
'a bunch',START,WP,DT,IN,NNS,1,0.6,1
could,IN,NN,MD,VB,VBN,13,1,1
know,VBP,RB,VB,IN,NN,17,0.8,0
know,START,PRP,VBP,DT,NN,1,0.8,0
often,CC,PRP,RB,VBP,STOP,7,1,1
think,PRP,RB,VBP,PRP,MD,2,1,1
'a few',VBD,VBN,DT,CD,NNS,5,0.8,1
probably,DT,VBZ,RB,VBG,TO,2,1,1
think,PRP,RB,VBP,PRP,VB,4,0.6,1
about,PRP,VBD,IN,NNS,NNS,3,1,0
most,IN,DT,JJS,NN,.,11,0.6,1
guess,START,PRP,VBP,DT,VBZ,1,0.8,1
much,NNS,RB,RB,IN,JJ,5,0.6,0
about,VBZ,VBN,IN,PRP$,NNS,21,1,0
think,START,LS,VB,DT,NN,1,1,1
may,NNP,NN,MD,VB,VBN,5,1,1
like,VBP,NNS,IN,DT,CC,8,1,1
like,DT,NN,IN,WP,NNP,3,0.8,1
'a little',RB,VB,DT,NN,IN,4,0.8,1
some,PRP,VBD,DT,JJ,NNS,2,0.6,1
may,START,PRP,MD,VB,JJ,1,0.8,1
might,IN,PRP,MD,VB,VBZ,3,0.6,0
seem,PRP,VBZ,VB,IN,JJS,29,1,1
think,START,PRP,VBP,NN,VBD,1,0.8,1
perhaps,PRP,VBD,RB,DT,NN,2,0.6,1
much,VBD,RB,JJ,NN,RB,15,0.8,0
should,IN,EX,MD,VB,NN,5,0.8,0
seem,RB,VBZ,VB,TO,VB,9,1,1
sure,START,RB,JJ,IN,PRP,1,1,1
think,NN,MD,VB,RB,.,4,1,1
know,VBP,RB,VB,WP,VBZ,3,0.8,1
remember,START,PRP,VBP,IN,DT,1,0.8,0
likely,VBP,RB,JJ,TO,VB,5,0.6,1
some,PRP,VBD,DT,JJ,NNS,3,0.6,0
think,START,PRP,VBP,PRP,MD,1,1,1
may,RB,IN,MD,RB,RB,2,1,1
may,START,NNP,MD,RB,VB,1,1,1
read,VBD,RB,VB,NNS,IN,10,0.8,0
really,NNP,NNPS,RB,VBG,.,10,1,0
about,NN,PRP,IN,DT,VBZ,4,1,0
someone,RP,IN,NN,JJ,PRP,5,1,1
fair,TO,VB,JJ,TO,NNP,2,1,0
somewhere,DT,NN,RB,IN,DT,16,0.6,0
some,RB,IN,DT,CD,NNS,11,1,1
really,MD,RB,RB,VB,IN,28,0.6,1
should,CC,NNS,MD,VB,PRP$,4,1,0
about,PRP,VBP,IN,PRP,PRP,4,1,0
might,START,PRP,MD,VB,VBN,1,1,1
know,VBP,RB,VB,WRB,DT,4,1,1
much,VB,RB,RB,RB,.,9,0.6,1
like,DT,NN,IN,DT,.,26,1,1
'a bunch',VB,IN,DT,IN,NNS,7,0.6,1
about,RB,VBG,IN,DT,NNP,15,1,0
some,VBZ,VB,DT,JJ,NNS,4,0.6,1
really,:,PRP,RB,VBP,JJ,16,0.6,1
understand,-LRB-,PRP,VBP,PRP,VBZ,24,1,1
understand,PRP,MD,VB,IN,PRP,3,1,0
may,IN,PRP,MD,VB,VBN,6,0.8,1
sometimes,JJ,CC,RB,RB,JJ,11,0.6,0
much,RP,RB,RB,STOP,STOP,19,0.8,0
find,START,PRP,VBP,DT,RB,1,1,1
know,VBP,RB,VB,NN,IN,9,1,1
fair,NNP,DT,JJ,NN,.,36,0.6,0
may,CC,NN,MD,VB,JJR,15,1,1
seldom,:,CC,RB,RB,NN,7,1,1
like,VBZ,RB,VB,WP,PRP,4,1,0
could,JJ,CC,MD,VB,FW,6,0.6,0
some,RB,VBD,DT,NN,STOP,7,0.6,1
'a bit',RB,VBG,DT,IN,NN,43,1,1
believe,NN,NNS,VBP,DT,JJ,11,0.8,0
might,VBP,NNS,MD,VB,VBN,3,1,1
know,WP,PRP,VBP,IN,VBG,2,1,0
could,IN,PRP,MD,VB,WRB,14,1,0
think,START,NN,VBP,DT,IN,1,0.8,1
about,NN,VBD,IN,DT,NN,8,0.9,0
about,JJ,NN,IN,NN,.,16,0.9,0
about,RB,VB,IN,PRP$,JJ,3,1,0
about,PRP,VBP,IN,NNS,STOP,3,1,0
much,NN,WRB,RB,PRP,VBP,3,0.6,1
think,PRP,RB,VBP,DT,JJ,2,0.8,1
know,VBP,RB,VB,WRB,PRP,3,0.6,1
like,PRP,VBD,IN,PRP,WRB,2,1,1
much,IN,WRB,JJ,PRP,RB,6,0.8,0
some,RP,VBG,DT,IN,DT,37,0.8,1
'a bit',DT,NN,DT,RB,.,6,1,1
about,VBP,VBG,RB,VBZ,DT,4,1,0
someone,TO,VB,NN,NN,DT,5,0.6,1
hear,WRB,PRP,VBP,UH,STOP,23,1,0
'and the rest',IN,NNP,CC,NN,NNP,5,1,1
feel,RB,FW,VB,IN,FW,13,1,1
about,JJ,NN,IN,NNP,NNP,9,1,0
about,NN,:,IN,CD,STOP,3,0.6,0
believe,MD,RB,VB,PRP,VBD,3,1,1
like,VBZ,RB,IN,PRP,VBZ,4,1,1
understand,JJR,CC,VB,WRB,DT,6,1,0
seem,VBZ,RB,VB,TO,VB,7,0.6,1
could,IN,PRP,MD,VB,DT,10,0.8,1
feel,START,PRP,VBP,RB,RB,1,1,0
basic,START,DT,JJ,NN,.,1,0.6,1
may,NN,WDT,MD,VB,DT,7,1,1
some,VBN,PRP$,DT,NN,CC,4,0.5,0
some,TO,VB,DT,VBG,IN,12,0.5,0
someone,VBG,WRB,NN,VBZ,DT,6,0.8,1
'sort of',JJ,WP,NN,NN,VBZ,15,1,0
believe,NNS,WP,VBP,IN,PRP,2,0.6,1
general,NNPS,IN,JJ,CC,RB,12,1,1
like,NN,RB,IN,PRP$,JJ,19,1,1
'they say',TO,WP,PRP,IN,NN,4,0.8,1
really,VBD,RB,RB,VB,NN,11,1,1
could,START,PRP,MD,VB,DT,1,0.8,0
some,NNS,FW,DT,NNS,VBP,14,0.6,1
about,VBZ,DT,IN,VBG,DT,3,1,0
'a bunch',VBP,RB,DT,IN,VBN,4,1,1
feel,IN,PRP,VBP,IN,PRP,12,0.8,1
most,START,DT,RBS,JJ,NN,1,1,0
feel,PRP,RB,VBP,IN,PRP$,2,0.8,1
might,IN,NNS,MD,VB,JJ,10,1,1
read,PRP,VBP,VBN,RB,JJ,2,0.6,0
sometimes,NN,CC,RB,FW,VB,11,0.6,0
about,VBP,VBN,IN,VBG,DT,3,1,0
really,START,PRP,RB,VBP,JJ,1,0.8,1
sure,CC,PRP,RB,IN,NN,17,0.6,1
about,PRP,NN,IN,DT,NNS,16,1,0
may,START,PRP,MD,VB,NN,1,1,1
much,NN,RB,JJ,NN,STOP,12,0.6,0
seem,START,PRP,VBP,IN,DT,1,1,1
like,JJ,NNS,IN,VBG,DT,25,1,1
think,START,PRP,VBP,PRP,VBZ,1,1,1
could,WRB,FW,MD,IN,PRP$,26,1,0
like,PRP,VBP,IN,FW,FW,14,1,0
really,START,PRP,RB,VBP,VBN,1,0.6,0
might,:,PRP,MD,VB,DT,5,1,1
'sort of',VBD,IN,NN,NN,NN,5,0.6,1
know,VBZ,NNP,VB,STOP,STOP,22,0.8,1
hear,VBD,RB,VB,DT,JJ,6,0.8,0
know,RB,RB,VB,NN,IN,14,0.8,0
about,NNP,VBD,IN,DT,NNP,5,1,0
like,WRB,NN,IN,PRP,MD,5,1,0
about,RB,VB,IN,DT,JJ,9,1,0
like,NN,VBZ,IN,PRP,IN,8,1,1
feel,PRP$,NN,VB,PRP,MD,10,1,1
could,NN,WP,MD,VB,VBN,8,1,0
suggest,START,TO,VB,IN,NNS,1,1,1
almost,RB,RB,RB,CD,NNS,16,1,1
remember,START,PRP,VBP,VBG,RB,1,0.8,0
think,START,PRP,VBP,PRP,VBP,1,0.8,1
about,PRP,VBD,IN,CD,NNS,9,1,1
'a few',NNP,VBZ,DT,NNS,IN,12,1,1
could,START,PRP,MD,VB,IN,1,0.6,0
like,PRP,MD,VB,TO,VB,5,1,0
should,DT,NN,MD,VB,VBG,2,1,0
about,PRP$,NN,IN,PRP,VBP,6,1,0
about,PRP,VBP,IN,VBG,PRP$,9,1,0
think,PRP,MD,VB,IN,STOP,7,1,0
believe,MD,RB,VB,PRP,MD,3,0.8,1
really,START,PRP,RB,MD,NN,1,0.6,1
really,PRP,VBD,RB,VBN,IN,2,1,0
guess,:,PRP,VBP,IN,PRP,13,1,1
about,IN,NN,IN,NNP,NNP,2,1,0
know,IN,PRP,VBP,PRP,VBZ,16,0.6,1
may,START,DT,MD,VB,JJ,1,1,1
maybe,JJ,CC,RB,RB,JJ,12,1,1
know,START,PRP,VBP,IN,VBZ,1,0.6,0
could,IN,PRP,MD,VB,.,11,1,0
believe,RB,NN,VB,IN,CC,9,1,0
about,PRP,VBP,IN,TO,VB,8,0.8,1
imagine,START,PRP,VBP,NNS,MD,1,1,1
about,MD,VB,RB,CD,-LRB-,7,1,1
think,START,PRP,VBP,DT,VBZ,1,0.8,1
think,START,PRP,VBP,PRP$,NN,1,1,1
sure,START,PRP,RB,VBP,STOP,1,0.6,0
much,:,WRB,JJ,CC,WP,40,0.6,1
imagine,MD,RB,VB,PRP,VBG,3,1,0
like,CC,DT,JJ,MD,VB,3,0.8,1
about,NN,NN,IN,JJ,NNS,16,1,0
should,START,PRP,MD,VB,JJ,1,0.8,1
think,START,PRP,VBP,JJ,NN,1,1,1
likely,NNS,VBP,JJ,TO,RB,5,0.8,1
'a couple',MD,VB,DT,IN,NNS,3,1,1
could,WRB,PRP,MD,VB,JJ,7,0.8,0
'a few',IN,JJS,DT,NNS,RB,14,0.8,1
should,PRP,PRP,MD,VB,VBN,4,1,0
may,JJ,NNS,MD,RB,RB,2,1,1
like,:,VBZ,IN,DT,NN,8,1,1
possible,CC,DT,JJ,NN,IN,9,0.8,0
expect,PRP,MD,VB,TO,VB,13,1,0
find,PRP,MD,VB,PRP,VBP,2,1,1
imagine,MD,RB,VB,JJ,NN,24,0.8,0
find,IN,PRP,VBP,PRP,JJ,2,1,1
much,VB,RB,JJ,IN,NNS,5,0.8,1
believe,NN,MD,VB,IN,DT,5,0.8,1
about,RB,JJ,IN,DT,NNS,5,1,0
believe,IN,PRP,VBP,NNS,VBP,2,0.8,1
like,START,PRP,VBP,NNP,IN,1,1,0
like,NN,NN,IN,DT,NNP,21,1,1
recall,IN,DT,NN,NN,VBZ,15,0.6,0
understand,MD,RB,VB,PRP,.,17,1,0
like,PRP,VBZ,IN,PRP,VBP,2,1,1
some,NN,NNS,DT,JJ,NNS,28,0.6,0
someone,START,IN,NN,VBD,DT,1,0.8,0
someone,NNP,IN,NN,WP,VBD,19,0.8,0
think,START,LS,VB,PRP,VBZ,1,1,1
approximately,NNS,IN,RB,CD,STOP,4,1,1
could,VBD,PRP,MD,VB,IN,12,0.8,0
believe,PRP,RB,VBP,IN,NNP,2,0.8,1
about,NN,VBZ,IN,DT,NN,3,1,0
most,NNP,NNP,RBS,JJ,NN,15,0.8,0
may,JJ,NN,MD,VB,IN,3,1,1
about,RB,VB,IN,DT,RB,4,1,0
about,RBR,JJ,IN,JJ,NN,6,1,0
likely,JJ,NNS,JJ,TO,VB,16,1,1
feel,PRP,RB,VBP,JJ,IN,17,0.8,0
feel,IN,PRP,VBP,DT,NN,29,0.8,0
know,START,PRP,VBP,JJS,IN,1,0.6,1
apparently,NN,WP,RB,VBD,DT,10,1,1
could,NNS,WDT,MD,VB,JJ,15,1,1
much,VBN,RB,RB,IN,DT,12,1,1
somewhere,JJ,NN,RB,RB,.,6,0.8,0
know,VBP,RB,VB,IN,RB,3,0.6,0
suggest,CC,RB,VBP,PRP,MD,12,0.8,1
estimate,START,NNS,VBP,IN,RB,1,0.8,1
most,NN,CC,RBS,JJ,NN,6,1,0
most,CC,DT,RBS,JJ,NN,6,1,0
about,JJ,NN,IN,NNS,.,6,1,0
think,VBP,RB,VB,DT,NNP,3,1,1
about,NNP,VBD,IN,NNP,POS,5,1,0
might,START,PRP,MD,VB,IN,1,0.8,1
some,MD,VB,DT,IN,PRP,2,0.6,1
like,NN,RB,IN,JJ,NNS,10,1,1
'sort of',VBG,DT,NN,NN,IN,11,0.6,0
feel,VBD,RB,VB,JJ,TO,3,1,0
sure,VBP,RB,JJ,RB,WP,10,0.8,1
perhaps,NNP,VBZ,RB,DT,RBS,3,0.8,1
possible,DT,CD,JJ,NNS,:,17,0.8,0
understand,VBP,RB,VB,VBZ,DT,5,1,0
find,START,START,VB,DT,NN,0,0.8,0
remember,NN,PRP,VBP,VBG,IN,5,0.6,1
'look like',MD,RB,VB,DT,CC,15,0.6,0
'sounds like',START,RB,VBZ,DT,NN,1,1,1
most,VBZ,DT,RBS,JJ,RB,10,0.8,0
'a few',NNP,VBZ,DT,NNS,IN,12,1,1
some,NN,IN,DT,IN,PRP$,7,0.6,0
some,NNS,VBD,DT,IN,PRP$,12,0.6,0
about,TO,VB,IN,PRP,STOP,5,1,0
could,WP,PRP,MD,VB,PRP,3,0.8,0
know,NNS,WP,VBP,DT,NN,8,0.8,0
understand,CC,MD,VB,FW,NN,7,1,0
often,RB,VBZ,RB,VBD,STOP,3,1,1
